A Stand Up Mother	2011	Comedy
A Story with Me in It	2010	Documentary
A Story with Me in It	2012	Documentary
A Stranger in My Home	2013	Drama
A Stranger on the Hills	1970	Drama
A Study in Fear	2015	Comedy
A Study in Fear	2015	Horror
A Superhero Story	2011	Comedy
A TV Dante	1989	Drama
A Tale of Two Cities	1957	Drama
A Tale of Two Cities	1957	History
A Tale of Two Cities	1965	Drama
A Tale of Two Cities	1980	Drama
A Tale of Two Cities	1989	Drama
A Tale of Two Cities	1989	History
A Tale of Two Cities	1989	Romance
A Tale of Two Cities	1989	War
A Tale of Two Cities	2015	Documentary
A Tale of Two Rivers	1966	Music
A Taste for Blue Ribbons	1973	Drama
A Taste for Death	1988	Crime
A Taste for Death	1988	Drama
A Taste for Death	1988	Mystery
A Taste of Bachelorhood	1986	Drama
A Taste of China	1982	Documentary
A Taste of History	2008	History
A Taste of My Life	2006	Biography
A Taste of My Life	2006	Documentary
A Taste of Travel	2012	Documentary
A Taste of the World	2013	Adventure
A Taste of the World	2013	History
A Taste of the World	2013	News
A Teia	2014	Action
A Teia	2014	Crime
A Teia	2014	Thriller
A Tell Tale Vlog	2013	Comedy
A Tempo	2004	Music
A Terra Prometida	2016	Drama
A Terra dos Meninos Pelados	2003	Drama
A Terra dos Meninos Pelados	2003	Musical
A Thing Called Love	2004	Drama
A Thing Called Love	2004	Romance
A Thousand Apologies	2008	Comedy
A Thousand Million Million Ants	1985	Documentary
A Thousand Skies	1985	Adventure
A Thousand Skies	1985	Biography
A Thousand Skies	1985	Drama
A Thousand Skies	1985	History
A Thousand Skies	1985	Romance
A Time of AIDS	1993	Documentary
A Time of Day	1957	Thriller
A Time to Dance	1992	Drama
A Time to Live	1954	Drama
A Toca	2013	Comedy
A Todo Mecate con Alex y Pekas	2012	Comedy
A Totally Serious Series	2014	Comedy
A Touch Away	2006	Drama
A Touch of Cloth	2012	Action
A Touch of Cloth	2012	Comedy
A Touch of Cloth	2012	Crime
A Touch of Cloth	2012	Mystery
A Touch of Frost	1992	Crime
A Touch of Frost	1992	Drama
A Touch of Frost	1992	Mystery
A Touch of Grace	1973	Comedy
A Touch of Spice	1989	Comedy
A Touch of Venus	1968	Drama
A Touch of the Norman Vaughans	1964	Comedy
A Touch of the Norman Vaughans	1964	Music
A Town Called Stonehenge	2016	Horror
A Town Like Alice	1981	Drama
A Town Like Alice	1981	Romance
A Town Like Alice	1981	War
A Travel Guide to Life	2014	Family
A Tribo dos Penas Brancas	1987	Adventure
A Turbulent Affair	2015	Comedy
A Turma do Didi	1998	Comedy
A Tutto Tino	2014	Family
A Twist in the Tale	1998	Family
A Vaga	2014	Sport
A Velhinha que Fuma	2015	Comedy
A Very British Coup	1988	Drama
A Very British Murder with Lucy Worsley	2013	Documentary
A Very Peculiar Practice	1986	Comedy
A Very Peculiar Practice	1986	Drama
A Vez e a Voz	1984	Music
A Vida Alheia	2010	Comedy
A Vida Privada de Salazar	2009	History
A Vida Privada de Salazar	2009	Romance
A Vida com Eliane	1957	Comedy
A Vida da Gente	2011	Drama
A Vida da Gente	2011	Romance
A Vida de Rafinha Bastos	2013	Comedy
A Vida o de Lucas Batista	2013	Comedy
A Vida o de Lucas Batista	2013	Romance
A View of the Islands	1971	Family
A Visual Guide to the Universe with the Smithsonian	2014	Documentary
A Vodka Movie	2008	Comedy
A Vodka Movie	2008	Short
A Vote for the Stars	1964	Documentary
A Voz de Portugal	2011	Music
A War Diary	2001	Drama
A War Diary	2001	War
A Wealth of Wisdom	2004	News
A Wedding Story	1996	Documentary
A Week of It	1977	Comedy
A Whole New Ballgame	1995	Comedy
A Whole Scene Going	1966	Music
A Wide Stance	2008	Documentary
A Wider World	2001	Biography
A Wife for William	2004	Comedy
A Wife for William	2004	Documentary
A Will of Their Own	1998	Drama
A Will to Survive	2016	Documentary
A Window Looking In	2010	Documentary
A Winter Harvest	1984	Drama
A Winter Rose	2014	Drama
A Woman Called Moses	1978	Biography
A Woman Called Moses	1978	Drama
A Woman Named Jackie	1991	Biography
A Woman Named Jackie	1991	Drama
A Woman of Independent Means	1995	Drama
A Woman of Substance	1984	Drama
A Woman of Substance	1984	Romance
A Word from Our Sponsors	2011	Comedy
A Word in your Era	1992	Comedy
A Word with Alf	1997	Comedy
A World Apart	1969	Drama
A World in Arms	2003	Drama
A World of Comedy	1965	Comedy
A World of Comedy	1965	Family
A World of Dance in Philadelphia	2011	Documentary
A World of Her PWN	2008	Comedy
